RA,Fase,Turma,Nome,Ano nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO_PEDE,ANO_NASC,DATA_NASC_BR,IDADE,Pedra,Nome Anonimizado,Data de Nasc,IPP,Mat,Por,Ing,Fase Ideal,Defasagem,Destaque IPV.1,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Ativo/ Inativo.1,ENGAJAMENTO_ACADEMICO,SUPORTE_PSICO,SCORE_GERAL,EVOLUCAO_IDA,EVOLUCAO_IEG,RISCO
RA-11,Fase 7,A,Aluno-11,2004.0,18,Feminino,2016,Escola Pública,5.323,799.0,19.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.2,4.2,5.0,Requer avaliação,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2004,,18,Quartzo,,,,,,,,,,,,,,,12.600000000000001,,,0.0,0.0,1
RA-12,Fase 7,A,Aluno-12,2005.0,17,Feminino,2020,Escola Pública,4.832,834.0,20.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,0.0,4.0,6.9,Sem limitações,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Fase 7 (3º EM),0.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2005,,17,Quartzo,,,,,,,,,,,,,,,6.0,,,0.0,0.0,1
RA-13,Fase 7,A,Aluno-13,2004.0,18,Masculino,2016,Escola Pública,6.902,524.0,10.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,Sem limitações,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2004,,18,Ágata,,,,,,,,,,,,,,,34.78,,,0.0,0.0,0
RA-14,Fase 7,D,Aluno-14,2001.0,21,Masculino,2022,Escola Pública,6.793,558.0,12.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.9,8.3,7.5,Não atendido,4.0,8.0,0.0,,Sim,Não,7.75,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2001,,21,Ágata,,,,,,,,,,,,,,,33.2,,,0.0,0.0,0
RA-15,Fase 7,D,Aluno-15,2004.0,18,Masculino,2022,Escola Pública,7.783,207.0,3.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.3,8.0,6.5,,Sim,Não,7.292,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2004,,18,Ametista,,,,,,,,,,,,,,,73.0,,,0.0,0.0,0
RA-16,Fase 7,D,Aluno-16,2003.0,19,Masculino,2022,Escola Pública,6.112,706.0,14.0,8.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,8.3,5.0,Requer avaliação,3.5,7.0,0.0,,Sim,Não,6.333,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2003,,19,Ágata,,,,,,,,,,,,,,,29.050000000000004,,,0.0,0.0,0
RA-17,Fase 7,D,Aluno-17,2002.0,20,Masculino,2022,Escola Pública,8.068,125.0,2.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2002,,20,Topázio,,,,,,,,,,,,,,,78.0,,,0.0,0.0,0
RA-18,Fase 7,D,Aluno-18,2003.0,19,Masculino,2022,Escola Pública,7.226,418.0,7.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,6.3,8.7,6.3,Requer avaliação,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2003,,19,Ametista,,,,,,,,,,,,,,,78.3,,,0.0,0.0,0
RA-19,Fase 7,D,Aluno-19,2003.0,19,Feminino,2022,Escola Pública,7.665,248.0,4.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,9.5,7.5,Sem limitações,8.0,7.0,9.0,,Sim,Não,7.0,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2003,,19,Ametista,,,,,,,,,,,,,,,76.0,,,0.0,0.0,0
RA-20,Fase 7,D,Aluno-20,2003.0,19,Feminino,2022,Escola Pública,7.535,296.0,5.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.1,10.0,6.3,Não atendido,7.8,9.0,6.5,,Sim,Não,7.167,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2003,,19,Ametista,,,,,,,,,,,,,,,78.0,,,0.0,0.0,0
