RA,Fase,Turma,Nome,Ano nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO_PEDE,ANO_NASC,DATA_NASC_BR,IDADE,Pedra,Nome Anonimizado,Data de Nasc,IPP,Mat,Por,Ing,Fase Ideal,Defasagem,Destaque IPV.1,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Ativo/ Inativo.1,ENGAJAMENTO_ACADEMICO,SUPORTE_PSICO,SCORE_GERAL,EVOLUCAO_IDA,EVOLUCAO_IEG,RISCO
RA-130,Fase 4,F,Aluno-130,2006.0,16,Feminino,2018,Escola Pública,5.624,772.0,69.0,14.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,4.7,5.0,Requer avaliação,4.1,3.7,5.2,3.5,Não,Não,6.5,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Quartzo,,,,,,,,,,,,,,,19.27,,,0.0,0.0,1
RA-131,Fase 4,F,Aluno-131,2007.0,15,Feminino,2016,Escola Pública,7.174,440.0,35.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,9.0,5.6,Sem limitações,5.6,6.0,6.5,4.2,Sim,Não,7.75,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ametista,,,,,,,,,,,,,,,50.4,,,0.0,0.0,0
RA-132,Fase 4,F,Aluno-132,2008.0,14,Feminino,2019,Rede Decisão,8.355,53.0,5.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.8,5.6,Sem limitações,7.7,6.5,7.5,9.1,Não,Sim,8.458,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Topázio,,,,,,,,,,,,,,,67.76,,,0.0,0.0,0
RA-133,Fase 4,F,Aluno-133,2007.0,15,Feminino,2016,Escola Pública,6.875,530.0,45.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.1,7.5,Não atendido,5.6,4.7,7.2,5.0,Não,Não,7.625,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,39.76,,,0.0,0.0,0
RA-134,Fase 4,F,Aluno-134,2007.0,15,Feminino,2021,Escola Pública,6.607,623.0,56.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.8,7.5,Não atendido,4.7,4.7,6.8,2.5,Sim,Não,7.375,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,31.96,,,0.0,0.0,0
RA-135,Fase 4,F,Aluno-135,2007.0,15,Feminino,2019,Escola Pública,7.692,237.0,20.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,7.8,5.6,Sem limitações,8.6,8.0,8.2,9.5,Sim,Sim,8.583,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ametista,,,,,,,,,,,,,,,67.08,,,0.0,0.0,0
RA-136,Fase 4,F,Aluno-136,2007.0,15,Masculino,2019,Escola Pública,6.478,646.0,59.0,13.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,10.0,6.3,7.5,Não atendido,4.6,5.3,5.7,2.8,Não,Não,6.667,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,28.979999999999997,,,0.0,0.0,0
RA-137,Fase 4,F,Aluno-137,2005.0,17,Feminino,2016,Rede Decisão,7.056,468.0,38.0,9.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,8.9,5.0,Requer avaliação,7.3,6.0,7.3,8.5,Não,Não,7.792,2.5,Fase 7 (3º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2005,,17,Ametista,,,,,,,,,,,,,,,64.97,,,0.0,0.0,0
RA-138,Fase 4,F,Aluno-138,2007.0,15,Masculino,2016,Escola Pública,6.738,573.0,53.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.0,5.6,Requer avaliação,5.6,5.0,6.5,5.2,Sim,Não,6.375,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,44.8,,,0.0,0.0,0
RA-139,Fase 4,F,Aluno-139,2005.0,17,Masculino,2019,Escola Pública,3.738,858.0,75.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,7.1,3.5,5.0,Requer avaliação,1.4,1.7,2.7,0.0,Não,Não,3.917,2.5,Fase 7 (3º EM),-3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2005,,17,Quartzo,,,,,,,,,,,,,,,4.8999999999999995,,,0.0,0.0,1
RA-140,Fase 4,F,Aluno-140,2008.0,14,Feminino,2021,Escola Pública,7.407,358.0,28.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,7.9,7.6,6.9,Não atendido,5.7,5.0,6.5,5.6,Sim,Não,7.667,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,43.32,,,0.0,0.0,0
RA-141,Fase 4,F,Aluno-141,2008.0,14,Masculino,2017,Escola Pública,7.118,450.0,36.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,8.2,5.6,Requer avaliação,5.7,5.8,6.2,5.0,Não,Não,5.917,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,46.739999999999995,,,0.0,0.0,0
RA-142,Fase 4,F,Aluno-142,2008.0,14,Feminino,2021,Escola Pública,7.457,332.0,27.0,5.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,6.7,8.6,5.6,Requer avaliação,6.3,6.0,6.8,6.0,Não,Não,7.583,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,54.18,,,0.0,0.0,0
RA-143,Fase 4,F,Aluno-143,2009.0,13,Masculino,2019,Rede Decisão,8.638,24.0,3.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.9,5.6,Sem limitações,7.9,9.7,7.7,6.4,Não,Sim,9.5,10.0,Fase 3 (7º e 8º ano),1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2009,,13,Topázio,,,,,,,,,,,,,,,78.21000000000001,,,0.0,0.0,0
RA-144,Fase 4,F,Aluno-144,2008.0,14,Feminino,2017,Rede Decisão,8.181,89.0,9.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.3,5.0,Requer avaliação,7.9,7.5,7.2,9.0,Não,Não,8.292,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Topázio,,,,,,,,,,,,,,,73.47000000000001,,,0.0,0.0,0
RA-145,Fase 4,H,Aluno-145,2006.0,16,Masculino,2017,Escola Pública,5.846,746.0,68.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,0.0,6.3,8.1,Sem limitações,5.2,3.0,4.8,7.8,Sim,Não,7.25,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Quartzo,,,,,,,,,,,,,,,32.76,,,0.0,0.0,1
RA-146,Fase 4,H,Aluno-146,2007.0,15,Feminino,2022,Escola Pública,7.947,156.0,15.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.2,7.5,Não atendido,7.9,6.3,7.3,10.0,Sim,Não,8.208,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ametista,,,,,,,,,,,,,,,72.67999999999999,,,0.0,0.0,0
RA-147,Fase 4,H,Aluno-147,2008.0,14,Feminino,2022,Escola Pública,7.541,293.0,24.0,4.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,7.7,7.5,Não atendido,6.1,5.8,4.8,7.7,Não,Não,7.25,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,46.97,,,0.0,0.0,0
RA-148,Fase 4,H,Aluno-148,2008.0,14,Masculino,2022,Escola Pública,7.894,172.0,16.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,10.0,Sem limitações,5.3,4.7,6.3,5.0,Sim,Não,7.708,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,41.87,,,0.0,0.0,0
RA-149,Fase 4,H,Aluno-149,2007.0,15,Feminino,2022,Escola Pública,6.323,679.0,60.0,6.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,9.2,6.5,7.5,Não atendido,5.0,4.0,6.0,,Não,Não,6.125,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,32.5,,,0.0,0.0,0
RA-150,Fase 4,H,Aluno-150,2006.0,16,Feminino,2020,Escola Pública,6.962,498.0,41.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,6.3,6.9,Sem limitações,6.9,5.3,6.7,8.6,Sim,Não,7.333,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Ágata,,,,,,,,,,,,,,,43.47,,,0.0,0.0,0
RA-151,Fase 4,H,Aluno-151,2006.0,16,Feminino,2020,Escola Pública,7.563,289.0,23.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.5,6.9,Sem limitações,8.3,7.3,8.0,9.5,Sim,Não,7.958,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2006,,16,Ametista,,,,,,,,,,,,,,,62.25000000000001,,,0.0,0.0,0
RA-152,Fase 4,L,Aluno-152,2006.0,16,Feminino,2022,Escola Pública,6.712,586.0,54.0,13.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.3,7.0,7.5,Não atendido,6.5,4.0,7.0,8.5,Não,Não,6.292,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Ágata,,,,,,,,,,,,,,,45.5,,,0.0,0.0,0
RA-153,Fase 4,L,Aluno-153,2008.0,14,Feminino,2018,Rede Decisão,7.535,297.0,25.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.2,5.0,Requer avaliação,6.6,3.3,7.7,8.8,Não,Não,7.708,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,54.11999999999999,,,0.0,0.0,0
RA-154,Fase 4,L,Aluno-154,2007.0,15,Masculino,2017,Escola Pública,6.073,714.0,65.0,15.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,6.1,6.3,Sem limitações,4.0,3.7,6.2,2.1,Sim,Não,6.833,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,24.4,,,0.0,0.0,0
RA-155,Fase 4,L,Aluno-155,2006.0,16,Masculino,2022,Escola Pública,7.051,470.0,39.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,7.5,Não atendido,5.2,4.3,6.8,4.3,Sim,Não,6.833,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Ametista,,,,,,,,,,,,,,,43.160000000000004,,,0.0,0.0,0
RA-156,Fase 4,L,Aluno-156,2007.0,15,Masculino,2018,Escola Pública,7.357,376.0,30.0,6.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,9.4,Sem limitações,4.4,4.7,6.5,2.1,Sim,Não,7.792,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ametista,,,,,,,,,,,,,,,36.52,,,0.0,0.0,0
RA-157,Fase 4,L,Aluno-157,2010.0,12,Feminino,2018,Rede Decisão,8.317,59.0,6.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,10.0,6.3,Requer avaliação,7.7,7.0,7.5,8.7,Não,Não,8.292,10.0,Fase 3 (7º e 8º ano),1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2010,,12,Topázio,,,,,,,,,,,,,,,77.0,,,0.0,0.0,0
RA-158,Fase 4,L,Aluno-158,2005.0,17,Feminino,2017,Rede Decisão,7.302,392.0,32.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.8,5.6,Requer avaliação,6.6,5.0,6.7,8.1,Não,Não,8.125,2.5,Fase 7 (3º EM),-3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2005,,17,Ametista,,,,,,,,,,,,,,,64.68,,,0.0,0.0,0
RA-159,Fase 4,L,Aluno-159,2007.0,15,Feminino,2021,Escola Pública,6.49,644.0,58.0,14.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,8.1,5.6,Requer avaliação,4.7,4.3,5.8,3.9,Não,Não,6.458,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,38.07,,,0.0,0.0,0
RA-160,Fase 4,L,Aluno-160,2007.0,15,Feminino,2021,Escola Pública,6.746,568.0,52.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,7.2,5.6,Requer avaliação,5.3,2.7,6.0,7.1,Sim,Não,8.25,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,38.16,,,0.0,0.0,0
RA-161,Fase 4,L,Aluno-161,2011.0,11,Feminino,2018,Rede Decisão,7.957,153.0,14.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.1,5.6,Requer avaliação,6.9,5.3,6.8,8.5,Não,Não,8.083,10.0,Fase 2 (5º e 6º ano),2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2011,,11,Ametista,,,,,,,,,,,,,,,62.79,,,0.0,0.0,0
RA-162,Fase 4,L,Aluno-162,2008.0,14,Feminino,2021,Escola Pública,7.215,423.0,34.0,8.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,6.7,8.5,7.5,Requer avaliação,5.5,4.7,5.5,6.4,Não,Não,6.542,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2008,,14,Ametista,,,,,,,,,,,,,,,46.75,,,0.0,0.0,0
RA-163,Fase 4,L,Aluno-163,2007.0,15,Feminino,2021,Escola Pública,6.797,556.0,49.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.9,5.6,Requer avaliação,6.7,6.5,6.3,7.4,Não,Não,6.5,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,52.93000000000001,,,0.0,0.0,0
RA-164,Fase 4,L,Aluno-164,2006.0,16,Masculino,2018,Escola Pública,6.776,562.0,50.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.3,7.3,5.6,Requer avaliação,6.5,4.7,6.5,8.3,Sim,Não,7.208,5.0,Fase 6 (2º EM),-2.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2006,,16,Ágata,,,,,,,,,,,,,,,47.449999999999996,,,0.0,0.0,0
RA-165,Fase 4,L,Aluno-165,2008.0,14,Feminino,2017,Rede Decisão,8.063,128.0,12.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,9.8,5.6,Sem limitações,7.6,5.3,7.8,9.7,Não,Não,7.5,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Topázio,,,,,,,,,,,,,,,74.48,,,0.0,0.0,0
RA-166,Fase 4,L,Aluno-166,2008.0,14,Masculino,2020,Escola Pública,8.253,73.0,8.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.3,Sem limitações,8.1,7.0,7.2,10.0,Sim,Não,7.542,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2008,,14,Topázio,,,,,,,,,,,,,,,72.89999999999999,,,0.0,0.0,0
RA-167,Fase 4,P,Aluno-167,2006.0,16,Feminino,2018,Rede Decisão,7.798,200.0,19.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,9.7,5.6,Requer avaliação,7.9,9.3,8.0,6.3,Não,Não,7.833,5.0,Fase 6 (2º EM),-2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,2006,,16,Ametista,,,,,,,,,,,,,,,76.63,,,0.0,0.0,0
RA-168,Fase 4,P,Aluno-168,2007.0,15,Feminino,2018,Rede Decisão,6.917,522.0,44.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.3,6.3,Sem limitações,5.9,4.7,8.2,5.0,Não,Não,7.083,5.0,Fase 5 (1º EM),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Ágata,,,,,,,,,,,,,,,48.970000000000006,,,0.0,0.0,0
RA-169,Fase 4,P,Aluno-169,2007.0,15,Feminino,2018,Escola Pública,5.159,814.0,73.0,9.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.5,5.1,6.3,Sem limitações,3.2,1.3,4.5,3.8,Não,Não,4.792,5.0,Fase 5 (1º EM),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2007,,15,Quartzo,,,,,,,,,,,,,,,16.32,,,0.0,0.0,1
RA-170,Fase 4,P,Aluno-170,2008.0,14,Feminino,2018,Rede Decisão,7.007,484.0,40.0,4.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,9.2,5.6,Requer avaliação,4.9,3.7,6.7,4.3,Não,Não,5.792,10.0,Fase 4 (9º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,2008,,14,Ágata,,,,,,,,,,,,,,,45.08,,,0.0,0.0,0
